asset,inner_window,zscore_lookback,forward_days,n_orders,spearman_r,spearman_p,n
XLE,10,60,2,3,-0.06250380324445723,8.150372213877042e-07,6216
XLE,10,60,2,4,-0.04734744400195302,0.0001882436953728566,6216
XLE,10,60,3,3,-0.08464758727572914,2.3271112634429015e-11,6215
XLE,10,60,3,4,-0.06823498410359287,7.26391670214166e-08,6215
XLE,10,60,5,3,-0.09385118033826545,1.2396951746621503e-13,6213
XLE,10,60,5,4,-0.08141683571970298,1.302619857811264e-10,6213
XLE,10,60,10,3,-0.09788122080451318,1.0826041711877764e-14,6208
XLE,10,60,10,4,-0.09114636828998683,6.244480858105961e-13,6208
XLE,10,60,20,3,-0.10749980591913395,2.1374086236973026e-17,6198
XLE,10,60,20,4,-0.0889929275874951,2.2394894105125575e-12,6198
XLE,10,120,2,3,-0.09912950949972515,6.423233082959776e-15,6156
XLE,10,120,2,4,-0.0841034671242845,3.8654635815349155e-11,6156
XLE,10,120,3,3,-0.12868607487519518,3.823205438686131e-24,6155
XLE,10,120,3,4,-0.11163806748658964,1.5758999556714194e-18,6155
XLE,10,120,5,3,-0.14557588728176885,1.7017251700131688e-30,6153
XLE,10,120,5,4,-0.13398720656032348,4.786264133042981e-26,6153
XLE,10,120,10,3,-0.1566295255479052,4.5762945347250374e-35,6148
XLE,10,120,10,4,-0.1510057232958489,1.0992525925192033e-32,6148
XLE,10,120,20,3,-0.160427101304317,1.1451775431803933e-36,6138
XLE,10,120,20,4,-0.1439811277330889,8.59689523080798e-30,6138
XLE,10,252,2,3,-0.13325758755258918,2.843917400160044e-25,6024
XLE,10,252,2,4,-0.12244782768938489,1.4609835407539318e-21,6024
XLE,10,252,3,3,-0.17305283628071316,1.0446303649436406e-41,6023
XLE,10,252,3,4,-0.16159076969503466,1.614279558367207e-36,6023
XLE,10,252,5,3,-0.1949164510438405,1.2478936214401144e-52,6021
XLE,10,252,5,4,-0.19119922004375875,1.129861219750851e-50,6021
XLE,10,252,10,3,-0.21117646849424754,1.2862311998441998e-61,6016
XLE,10,252,10,4,-0.21048002081477135,3.2514854130553006e-61,6016
XLE,10,252,20,3,-0.21582446524808438,3.077530651075504e-64,6006
XLE,10,252,20,4,-0.20805197420627172,1.003252771372225e-59,6006
XLE,20,60,2,3,-0.04303012055260416,0.0006970884206790852,6206
XLE,20,60,2,4,-0.021778378706668034,0.08625017700697654,6206
XLE,20,60,3,3,-0.06308366965470097,6.586751796154114e-07,6205
